words,sentiment_coeff
vista,-0.9901688085127176
grossa,1.0213444917908565
todo,-0.9833382807742581
com…,0.9588559047788539
coral,1.0781751858001163
robô,1.0037668978305156
#charge,1.1241384376728145
#politica,1.054429402073118
#coronavirus,0.9557014021909273
#cloroquina…,1.2051177187192699
porque,-1.0178399427769875
depender,-1.0373980291537772
desses,-0.9944521974016617
ignorantes,-1.0480795956382412
"presidente,",-1.0388151161945016
vai_ser,-1.0194970792299667
#coronavirus…,1.016775802352684
"lado,",-1.0126433127832535
nazistas,-1.1020586012791806
diziam,-1.00582274395854
"""es",1.135991496278391
(isso,-1.0357207740471905
segurança…,1.0624979899548184
sair,-1.0200185302777816
desrespeitando,1.0323092331690942
regras,1.0082952711493345
contágio,0.9888256599736494
"#covid19,",0.9866495632761649
justificativa,-1.0267984712255513
pessoa,-1.0225663075813332
culpa,-1.021636218800153
"bolsonaro,",-1.0070570294606163
ficaremos,-1.0315901877043652
receber,0.9762540058783545
vacina_contra,-1.005446479703547
coronavirus,-0.9715177045135983
conte,-1.071649808107506
arcoíris,1.2307332387138357
tempestades,1.0120863957603234
atualização_#covid19,1.0322608665716122
atualização,1.0383929726685552
utc_casos,1.0010935359238875
hoje,-0.9719210451774348
mortes,0.9926668952336769
farmacêutica,1.0175678778506396
diz,0.9653264739988372
encontrado,-1.0198025800383748
anti,-1.0476158371468736
corpo,-1.0088758346946143
protege,-1.046969832772955
100%,-0.9790535833197865
#covid_19,-0.9573388325362361
#vida,1.0943364555158976
vídeos,-1.0035566561531306
lembrando,-1.0126277390571587
ocorrerá,1.0195090367720867
benefício,1.021174396080637
responsabilidade,-1.0105568342926323
relações,1.0180337854273278
uso,0.9886908418935683
camisinha,-1.0722016530359364
agora,-1.0035704867567734
tem…,-1.0157537428903838
médica,0.990810310274741
licença,1.0007063320022238
maternidade,1.0448127743705806
negada,-1.0643119782165236
morre,-1.009750138783514
coronavírus,0.9225613505968036
vai!,-1.072964855293808
@minsaude,1.0076111006452508
confia,-1.0188396261841892
aceita,-1.0190331907613743
china?,-1.0552996609020544
china,-0.9862862560741256
completará,1.1467410755909069
testes…,1.1021768361643554
ninguem,-1.026676967780385
faz,-0.9932273765216837
aniversario,-1.0224057398305875
ano!,-1.0113782281238886
marca,0.9826172404292565
amigo,-1.0353946966274408
perdeu,-1.0059169439266524
acham,-1.0291684161979855
nao,-1.0256986865526152
perde…,-1.0898265258543647
semana,-0.9562466636715373
assembleia,1.0447832014360094
geral,-0.9686397315119183
@who,1.0766291331624445
"isso,",-0.9886574945060936
vários,-0.9713046173323172
eventos,1.0305093165117978
online,0.9886256194412498
"hoje,",0.9718680007198567
aco…,-1.013790201180206
valor,0.9813038199944761
pequenas,1.0180009891636785
coisas,-1.0071938286315272
principalmente,-1.0046496266258789
por…,-0.9505271805935
sociedade,0.9950649276132117
brasileira,0.9944063066160587
imunologia,1.1046239522421009
conclui,1.0262095946743
precoce,1.0108742685197316
recomendação,1.0206761282832164
deste,-0.9701128025198675
medicamento,-0.9799202041291548
covid19…,0.9579115988522945
luta_contra,1.0052610855943924
inimigo,-1.0577297494279754
invisível,-1.0708649386777114
sentimento,-1.0089982473122368
#enfermeiros,1.1383832058992558
trabalham,1.0204481347818415
diretamente,1.0134695598275867
eficaz,-1.0084342296266415
proteger,-1.0146021194421686
coronavírus!,-0.9465097026835614
#ficaemcasa,-1.0230966471141458
escolas,0.9900657523775939
80%,1.007336419272681
alunos,1.003231202196135
alguns,-0.9701637617806804
professores,1.0272602940100535
#escolas,1.1129769912234482
acusa,1.0250893276754955
ministério,1.03454651909166
reabertura,0.9784797345840676
cliente,-1.0300191800915717
"feliz,",-1.0473191931434536
lugalma,1.1560907069660766
feliz,-1.0405620960882611
#máscarapersonalizada,1.1430550989676513
áreas,1.0125935499816758
destinadas,1.049836371134654
doentes,0.9942583588913229
alto,0.966029867111316
minho,1.112654762232875
#emdestaque,1.1058508097734654
#hospitais,1.1320134977508352
concello,1.092708394276034
á,1.007764476180628
#alimentos,1.1300379464496515
produtos,1.0323933260829332
1ª,1.0190343984506631
para…,0.9910605080418761
pa,-1.0328468179723953
onde?,-1.0461450140569208
guimarães,1.1268842795129546
define,1.040455662198666
plano,-0.973049027553186
ação,0.9964838684704154
apoiar,0.9921090983554711
artistas,1.0638468530113525
locais,1.00666037507347
#cultura,1.0812253410239443
lá,-1.0140125211245092
facebook,-1.0340935203032877
ainda,-0.9870522864590956
acredito,-1.0489761974066945
jeito!,-1.0469252482255023
puder,-1.0280556383121167
entra,-1.0109116681708445
vamos,-1.0074669069188933
ajudar!,1.027770482728217
hora,-1.0135466310100283
ainda_bem,-1.0679159863073209
animais,-1.0030792453181487
domésticos,1.0120588467470635
transmitem,-1.0317643383789978
precisam,-0.9770736343537431
tomar,-1.0227634007071438
remédio,-1.0075900545378704
tratar,0.9796714308269642
pensou,-1.0778569429409333
esse…,-1.025992460486456
presidente,-0.9970191377355326
aves,1.078591127823122
i,1.046964207327803
liga,-0.9958481962203153
#futebol,1.0307135575201027
#iliga,1.1618558924959603
fundo,1.0019514965745484
solidário,1.0193594568720794
291,1.0801706324286795
mil,1.0016528506779445
euros,0.9949630422772128
hospital,0.978349517960085
braga,1.0655438499115115
#braga,1.0900065540534063
carga,1.0157409382754967
composta,1.1044151490946579
máscaras,-0.9799550757883505
respiratórias,0.9885499574735572
proteção,1.0262992967579931
participar?,1.1148935972701144
📌,1.075152457782824
16h,1.053966009682592
📝,1.1254403612128192
inscrições,1.0631130327044196
gratuitas,1.1021680419717301
#calamidade,1.2644871142898597
#estadodecalamidade,1.2693403340753082
#covid19_#coronavirus,1.027554447838549
#streetphotography,1.2236650908265687
#lisboa,1.0990159614827817
#portugal,1.0617482983818536
#paulocaladophoto…,1.254823392298843
informamos,1.078901680784249
"amanhã,",-0.9693990732110884
dia,-0.9499446110082652
19,0.9867351731703109
"maio,",0.9974059239553561
estará,0.9944765338675581
portas,0.9826586868230195
abertas,1.0078059891426132
todas,-0.9716152564466013
me…,-1.0002886764712284
dinheiro,-1.0027465151719976
provavelmente,-0.9989302383180284
vetor,-1.0511559436775655
contaminação,0.9911932404436085
fala,-1.011312137498557
nisso?,-1.06268574201163
usaram,-1.0104200708114623
u…,-0.988648823423819
desejo,-1.029797827515287
mal,-1.0284879376418254
porém,-1.0111039390491277
pegar,-1.048856892611655
ladrões,-1.0674444237164153
drivethru,1.0374581228150654
#testagem,1.0627078942034507
retornou,-0.9966890088168867
nesta_segunda,1.053643657324523
(18,1.0605479916526948
segue,0.9959961666989919
próxima,-0.9725754162295889
sexta,0.975874473952824
(se,-1.0375513232863545
disponibi…,1.0769054752024492
após,0.9849935061895831
78,1.0085017539513315
"dias,",0.9643687319628816
itália,0.9569359263092516
começou,-0.9954844198596852
retornando,1.0075050351071222
atividades,1.0021636596657317
paralisadas,1.0822472730016481
@arthurvneto,1.0479646038715904
estudos,0.9870568327389774
cloroquina,-1.0065290518271859
ineficaz,-1.0069048995075691
simples,-1.0379381653333937
assim,-1.022605487943603
cabe,-1.0273829944572337
uso…,1.024169733746301
hospitais,0.9782664168560682
negam,-1.0150030904095992
material,1.009774344453151
tatuadores,1.2148758852726442
vendem,1.0116381158575027
bens,1.0791588500428042
pagar,-0.9789913065829263
renda,1.0007899623945338
#comércio,1.095132609596596
alô,-1.07043541699338
@cnnbrasil,-1.071814883681481
prefeito,-0.981121736490565
teresópolis,1.1026258056046119
serviços_essenciais,1.0204423658954138
liberados,1.0393820408152763
"documento,",1.1074858057749182
assim…,-1.0207274999361529
causa,-1.0070986819102135
alecrim,-1.011919567021338
dourado,-1.0089239438213595
últimos,0.9601805548159706
fila,-1.0017331220797556
noção,-1.0194333018552855
disso,-1.0287943092874772
?,-1.03031626800951
um…,-1.0065853126135609
#fortaleza,1.0984215163976994
#ceará,1.09595807100576
#praia,-1.0571036082647889
#photography,-1.1521436139270438
pro,-1.0312294868336132
nascer,-1.0239113706422913
vem,-1.0087943014659297
logo,-1.0145567338451396
vacina!,-1.0368891992922828
novidades,0.9977723313922418
#covidー19,0.9889681366261025
passa,0.9665275645474343
"1,5_milhão",1.0070485361401846
número,0.9754885494291204
recuperados,1.0135571857091366
batida,1.0391278030688238
parte,-0.9816313153745608
estatística,-0.99834826513242
solicite,1.0507464872540568
visita,1.0155011320835112
avaliação,1.0566120722868924
orçamento,1.0274643722510417
cancelado,-0.9907738730130526
receita,0.979413241800938
busca,1.0184345080646153
empresa?,1.0881454128810601
outras,0.9683807842955964
dúvidas,-1.0031317553221728
respondidas,1.0855485997499053
con…,1.0220761787371275
un,1.0327809930743754
polo,1.025527442135204
menina,-1.0488670261734199
cinco,0.992474015481805
anos,-0.9777208441929701
doença,0.9481952814189312
kawasaki,0.9935639224365417
lourenço,1.027517062090235
silva,1.050208239204453
#pandemia,1.0079993023730522
#pandemia2020,1.1579755174261974
@jornaloglobo,-1.0734078623698753
imagina,-1.033479924240745
licitação,1.1098481948070191
usando,-1.0255741584836933
